colors
"[""aloe blossom"", ""sunporch"", ""burnt almond"", ""blue chalk"", ""kasbah"", ""cheerful tangerine"", ""dark grey"", ""artichoke"", ""jagged ice"", ""blooming grove"", ""shades of spring"", ""crowning"", ""enchanting"", ""veiled violet"", ""gemstone"", ""peach tile"", ""periwinkle blue"", ""don juan"", ""peach melba"", ""autumn purple""]"
"[""nature retreat"", ""faded green"", ""grasshopper"", ""purplish"", ""california dreaming"", ""cascade"", ""knoxville gray"", ""sweet rosy brown"", ""banana leaf"", ""la palma"", ""wooded vista"", ""aspen white"", ""clean canvas"", ""cancun sand"", ""seaweed"", ""soft denim"", ""fireball orange"", ""seafoam green"", ""petrol"", ""mud""]"
"[""indian tan"", ""virtuous violet"", ""jet"", ""almond"", ""snowy egret"", ""lazy afternoon"", ""egyptian blue"", ""verse green"", ""escape gray"", ""go green"", ""ocean kiss"", ""comforting green"", ""mud brown"", ""white veil"", ""always indigo"", ""pink chalk"", ""american red"", ""bridal pink"", ""graphite"", ""first waltz""]"
"[""underwater"", ""foggy day"", ""lenape trail"", ""cafe royal"", ""lacewing"", ""greeny yellow"", ""teal forest"", ""spooky ghost"", ""cranberry whip"", ""breath of spring"", ""floral bluff"", ""vivid yellow"", ""light magenta"", ""palisade"", ""amazon jungle"", ""jugo de guayaba"", ""hot gossip"", ""mulholland yellow"", ""lavender rose"", ""quartz pink""]"
"[""inchworm"", ""dark cream"", ""butternut brown"", ""pecan sandie"", ""heritage park"", ""liver chestnut"", ""kabul"", ""warm cognac"", ""rich walnut"", ""masterpiece"", ""aqua wish"", ""silver bullet"", ""winter haze"", ""kingdom gold"", ""spanish violet"", ""holly berry"", ""patio stone"", ""sagebrush"", ""brick dust"", ""integrity""]"
"[""sunflower seed"", ""violet stone"", ""california lilac"", ""scooter"", ""invigorating"", ""spring has sprung"", ""sequoia"", ""cheyenne rock"", ""optimistic yellow"", ""pinch of spice"", ""stiletto love"", ""orangeish"", ""pebbled shore"", ""ancient pottery"", ""sweatshirt gray"", ""sweet nothing"", ""agate green"", ""dull purple"", ""popular gray"", ""belmont gray""]"
"[""romantic morn"", ""grey chateau"", ""hidden meadow"", ""stillwater"", ""ionian"", ""liquid mercury"", ""polar drift"", ""blue bubble"", ""bondi blue"", ""napa vineyards"", ""thanksgiving"", ""bermuda grey"", ""new khaki"", ""dark taupe"", ""nautilus"", ""smoke bush rose"", ""hyacinth tint"", ""new shoot"", ""greenwich gate"", ""marine magic""]"
"[""gull gray"", ""maple leaf red"", ""dark pastel green"", ""mistletoe"", ""promise keeping"", ""lily bulb"", ""signature blue"", ""ivory tower"", ""marina bay"", ""soft pink"", ""dull yellow"", ""dark tangerine"", ""exotic red"", ""sociable"", ""pixie wing"", ""new york pink"", ""vintage vogue"", ""palatial"", ""engagement"", ""sierra madre""]"
"[""hidden sapphire"", ""springview green"", ""chrome green"", ""shoreline haze"", ""bakelite gold"", ""earth fired red"", ""key west ivory"", ""mirage white"", ""guava jelly"", ""fresh tone"", ""sulfur yellow"", ""cranberry jam"", ""buttermilk"", ""candy coated"", ""tropical sand"", ""french porcelain"", ""mourning dove"", ""pumpkin mousse"", ""smoked oyster"", ""sugar cookie""]"
"[""may apple"", ""bahia"", ""desert tan"", ""river tour"", ""carriage red"", ""turkish bay leaf"", ""pilgrim haze"", ""canyon clay"", ""bright and early"", ""windsor greige"", ""dark basalt"", ""carolina blue"", ""dark granite"", ""distant thunder"", ""engagement silver"", ""warm blush"", ""stardust evening"", ""misty violet"", ""elf green"", ""graycloth""]"
"[""alexandria beige"", ""pacific blue"", ""gray area"", ""decorous amber"", ""neptune blue"", ""verdigris"", ""cold turkey"", ""simply posh"", ""opal waters"", ""half colonial white"", ""governor bay"", ""chinese jade"", ""greens"", ""baltic gray"", ""ceramic"", ""sundial"", ""black smoke"", ""soft chamois"", ""locust"", ""minty frosting""]"
"[""pearly purple"", ""frostbite"", ""degas pink"", ""panda white"", ""purple pink"", ""spanish viridian"", ""cinnamon whip"", ""garden medley"", ""tropical pool"", ""reef"", ""maple fudge"", ""silver lining"", ""irish folklore"", ""garden sprout"", ""warm brown"", ""burmese gold"", ""hazy skies"", ""hot curry"", ""finch"", ""blue peacock""]"
"[""concord"", ""sierra ridge"", ""spring purple"", ""tangy"", ""ruddy"", ""river bank"", ""orange froth"", ""orange burst"", ""dream sunset"", ""chamber yellow"", ""helium"", ""registration black"", ""willow brook"", ""wickford bay"", ""misted rose"", ""andes summit"", ""smashed pumpkin"", ""embroidery"", ""gettysburg gray"", ""hickory stick""]"
"[""dolly"", ""high dive"", ""jordy blue"", ""storm lightning"", ""pink hydrangea"", ""steamed milk"", ""cameo stone"", ""amorous"", ""fresh sawdust"", ""gum leaf"", ""raleigh peach"", ""ashen tan"", ""ultra pure white"", ""green agate"", ""himalayan trek"", ""aura"", ""frosty glade"", ""galapagos"", ""tropics"", ""manhattan mist""]"
"[""dark moss green"", ""deco shell"", ""moderate white"", ""conch"", ""light salmon pink"", ""invitation gold"", ""coral tree"", ""rivulet"", ""june day"", ""mint julep"", ""azure lake"", ""minty green"", ""bluebonnet"", ""artesian water"", ""deep aqua"", ""shiny kettle"", ""everard blue"", ""hazy taupe"", ""brown thrush"", ""light green""]"
"[""carving party"", ""roadster white"", ""dogwood rose"", ""iron oxide"", ""potpourri"", ""dirty pink"", ""museum"", ""carefree"", ""jungle mist"", ""nightingale"", ""pearl gray"", ""exquisite emerald"", ""gun powder"", ""aged bronze"", ""revolver"", ""white dove"", ""warm pumpernickel"", ""pumpkin cream"", ""brushstroke"", ""pottery wheel""]"
"[""gravelstone"", ""peach preserve"", ""melon popsicle"", ""mystical sea"", ""darlin clementine"", ""crusta"", ""dairy cream"", ""canyonlands"", ""grafton brown"", ""bear creek"", ""planetary silver"", ""twilight lavender"", ""petal dust"", ""eye of the tiger"", ""rite of spring"", ""noble blush"", ""pinecrest gray"", ""pure turquoise"", ""painted turtle"", ""mckenzie""]"
"[""tucker chocolate"", ""monet lily"", ""egg hunt"", ""bauhaus"", ""perfect penny"", ""false cypress"", ""ottertail"", ""adagio"", ""desert camel"", ""scenic view"", ""blackberry cobbler"", ""candy mix"", ""platinum gray"", ""poisonberry"", ""gray shower"", ""boston brick"", ""sleigh bells"", ""wind chime"", ""revival mahogany"", ""prescott green""]"
"[""unimaginable"", ""splendor and pride"", ""believable buff"", ""greyish"", ""herb cornucopia"", ""violet vision"", ""retro avocado"", ""wind chill"", ""cadet blue"", ""white dogwood"", ""inviting ivory"", ""raging bull"", ""winds breath"", ""from the archives"", ""dark green blue"", ""gilded leaves"", ""eggshell cream"", ""baja dunes"", ""gallery green"", ""jetstream""]"
"[""loyalty"", ""country mist"", ""summer sun pink"", ""classic bouquet"", ""eider white"", ""medium ruby"", ""lincoln green"", ""flowering herbs"", ""dark grass green"", ""paprika"", ""harp strings"", ""sea glass"", ""dark sea"", ""princess ivory"", ""frost"", ""georgian revival blue"", ""fresh air"", ""balance green"", ""mountain forest"", ""lido green""]"
"[""fudge truffle"", ""crimson red"", ""raked leaves"", ""sirocco"", ""bubble tea"", ""unreal teal"", ""malted milk"", ""milady"", ""navy"", ""blue yonder"", ""pastel green"", ""greening"", ""thunder bay"", ""nimbus cloud"", ""dusky rose"", ""spice delight"", ""jade"", ""fresh butter"", ""monza"", ""light breeze""]"
